Year,Country,Agency,Records,Organization type,Method
2008,Chile,Ministry of Education,"6,000,000, including ID card numbers, addresses, telephone numbers academic records",Government,Hacking
2008,USA,Stanford University,"72,000, including dates of birth, Social Security numbers, home addresses",Academic,Lost / Stolen Device
2008,USA,?,1600000,Government,Accidental Exposure
2008,UK,UK Home Office,84000,Government,Lost / Stolen Device
2008,UK,UK Ministry of Defence,1700000,Government,Lost / Stolen Device
2008,USA,University of Utah Hospital & Clinics,2200000,Academic,Lost / Stolen Device
2008,USA,University of Miami,2100000,Academic,Lost / Stolen Device
2008,UK,Service Personnel and Veterans Agency (UK),50500,Government,Lost / Stolen Device
2007,UK,UK Revenue & Customs,25000000,Government,Lost / Stolen Device
2007,UK,Driving Standards Agency,3000000,Government,Lost / Stolen Device
2007,USA,Texas Lottery,"89,000+, including names, Social Security numbers, addresses, prize amounts",Government,Insider Threat
2007,UK,City and Hackney Teaching Primary Care Trust,160000,Healthcare,Lost / Stolen Device
2006,USA,U.S. Department of Veteran Affairs,26500000,Military,Lost / Stolen Device
